"TABLE 4.A   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,,,Inventory 1990,
Forest land,,,,,,,,,,,,,,,,,,,Submission 2023 v3,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,,Net CO2 emissions/ removals (4) (7),
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead wood per area(4),Net carbon stock change in litter per area(4),Net carbon stock change in soils per area(4),,Carbon stock change in living biomass(3) (4),,,Net carbon stock change in dead wood(4),Net carbon stock change in litter(4),Net carbon stock change in soils (4) (5) (6) ,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,,Mineral soils(5),Organic soils,Gains,Losses,Net change,,,Mineral soils,Organic soils,,
,,,,,(t C/ha),,,,,,,(kt C),,,,,,,(kt),
A. Total forest land ,,9379.71,9365.78,13.94,1.05,-0.48,0.56,0.01,0.03,-0.04,-0.13,9822.18,-4526.46,5295.72,62.77,295.07,-394.73,-1.77,-19275.86,
1. Forest land remaining forest land,,8544.13,8530.24,13.89,0.60,-0.52,0.08,-0.04,-0.02,0.00,-0.13,5141.11,-4442.76,698.35,-307.78,-176.47,1.45,-1.74,-783.98,
Pre-1990 natural forest remaining pre-1990 natural forest,Pre-1990 natural forest remaining pre-1990 natural forest,7776.05,7764.72,11.33,0.06,-0.02,0.05,0.00,0.00,0.00,NO,478.34,-125.23,353.10,34.80,0.00,0.00,NO,-1422.30,
Pre-1990 planted forest remaining pre-1990 planted forest,Pre-1990 planted forest remaining pre-1990 planted forest,615.30,612.74,2.56,5.60,-6.78,-1.18,-0.63,-0.26,0.00,-0.68,3443.37,-4169.85,-726.48,-386.33,-158.21,0.00,-1.74,4666.81,
Post-1989 forest remaining post-1989 forest,Post-1989 forest remaining post-1989 forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Pre-1990 natural forest converted to pre-1990 planted forest,Pre-1990 natural forest converted to pre-1990 planted forest,152.70,152.70,0.00,7.98,-0.85,7.13,0.29,-0.12,0.01,-0.68,1219.25,-130.24,1089.01,44.38,-17.65,1.45,-0.00,-4096.36,
Pre-1990 planted forest converted to pre-1990 natural forest,Pre-1990 planted forest converted to pre-1990 natural forest,0.08,0.08,NO,1.95,-214.25,-212.30,-7.61,-7.53,-0.01,NO,0.16,-17.44,-17.28,-0.62,-0.61,-0.00,NO,67.88,
Post-1989 natural forest remaining Post-1989 natural forest,Post-1989 natural forest remaining Post-1989 natural forest,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NA,NO,NO,"NO,NA",
Post-1989 natural forest to Post-1989 planted forest,Post-1989 natural forest to Post-1989 planted forest,NO,NO,NO,NO,NA,"NO,NA",NO,NA,NO,NO,NO,NA,"NO,NA",NO,NA,NO,NO,"NO,NA",
Post-1989 planted forest to Post-1989 natural forest,Post-1989 planted forest to Post-1989 natural forest,NO,NO,NO,NO,NA,"NO,NA",NO,NA,NO,NO,NO,NA,"NO,NA",NO,NA,NO,NO,"NO,NA",
2. Land converted to forest land(8),,835.58,835.53,0.05,5.60,-0.10,5.50,0.44,0.56,-0.47,-0.68,4681.06,-83.70,4597.36,370.55,471.54,-396.18,-0.03,-18491.88,
2.1 Cropland converted to forest land,,0.01,0.01,NO,3.01,-5.41,-2.40,0.23,0.00,0.11,NO,0.03,-0.05,-0.02,0.00,0.00,0.00,NO,0.08,
Annual cropland converted to pre-1990 natural forest,Annual cropland converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Perennial cropland converted to pre-1990 natural forest,Perennial cropland converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Annual cropland converted to pre-1990 planted forest,Annual cropland converted to pre-1990 planted forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Perennial cropland converted to pre-1990 planted forest,Perennial cropland converted to pre-1990 planted forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Annual cropland converted to post-1989 forest,Annual cropland converted to post-1989 forest,0.01,0.01,NO,3.02,-5.00,-1.98,0.23,NA,0.11,NO,0.03,-0.05,-0.02,0.00,NA,0.00,NO,0.06,
Perennial cropland converted to post-1989 forest,Perennial cropland converted to post-1989 forest,0.00,0.00,NO,3.02,-18.76,-15.74,0.23,NA,0.17,NO,0.00,-0.01,-0.00,0.00,NA,0.00,NO,0.02,
Annual cropland converted to post-1989 natural forest,Annual cropland converted to post-1989 natural forest,0.00,0.00,NO,1.95,-5.00,-3.05,0.02,0.00,0.11,NO,0.00,-0.00,-0.00,0.00,0.00,0.00,NO,0.00,
Perennial cropland converted to post-1989 natural forest,Perennial cropland converted to post-1989 natural forest,0.00,0.00,NO,1.95,-18.76,-16.81,0.02,0.00,0.17,NO,0.00,-0.00,-0.00,0.00,0.00,0.00,NO,0.00,
2.2 Grassland converted to forest land,,835.46,835.43,0.03,5.60,-0.10,5.50,0.44,0.56,-0.47,-0.68,4680.71,-82.77,4597.94,370.53,471.54,-396.27,-0.02,-18493.61,
High producing grassland converted to pre-1990 natural forest,High producing grassland converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Low producing grassland converted to pre-1990 natural forest,Low producing grassland converted to pre-1990 natural forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Grassland with woody biomass converted to pre-1990 natural forest,Grassland with woody biomass converted to pre-1990 natural forest,40.47,40.47,NO,0.44,IE,0.44,-0.01,0.00,-0.30,NO,17.78,IE,17.78,-0.49,0.00,-12.08,NO,-19.08,
High producing grassland converted to pre-1990 planted forest,High producing grassland converted to pre-1990 planted forest,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
Low producing grassland converted to pre-1990 planted forest,Low producing grassland converted to pre-1990 planted forest,386.27,386.27,NO,5.88,IE,5.88,0.47,0.61,-0.68,NO,2271.39,IE,2271.39,182.42,236.05,-261.44,NO,-8904.21,
Grassland with woody biomass converted to pre-1990 planted forest,Grassland with woody biomass converted to pre-1990 planted forest,394.23,394.23,NO,5.95,IE,5.95,0.47,0.60,-0.29,NO,2343.71,IE,2343.71,185.77,237.05,-113.96,NO,-9726.11,
High producing grassland converted to post-1989 forest,High producing grassland converted to post-1989 forest,2.67,2.66,0.01,3.02,-6.34,-3.33,0.23,NA,-0.67,-0.68,8.06,-16.95,-8.89,0.61,NA,-1.79,-0.01,36.92,
Low producing grassland converted to post-1989 forest,Low producing grassland converted to post-1989 forest,8.00,7.99,0.01,3.02,-2.87,0.15,0.23,NA,-0.70,-0.68,24.15,-22.95,1.21,1.84,NA,-5.62,-0.01,9.47,
