"TABLE 4.B  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Cropland,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (9),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4), (6)",,,Net carbon stock change in dead organic matter(4) (7),Net carbon stock change in soils(4) (5) (8) ,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,
B. Total Cropland,,426.64,416.98,9.66,0.04,-0.05,-0.02,-0.00,-0.06,-9.94,14.99,-22.62,-7.63,-0.13,-24.06,-96.09,469.02,,
1. Cropland remaining cropland,,396.82,387.21,9.61,0.01,-0.01,-0.00,0.00,-0.00,-9.94,3.01,-3.15,-0.13,0.00,-0.06,-95.58,351.16,,
Annual cropland remaining annual cropland,Annual cropland remaining annual cropland,334.13,326.74,7.39,NA,0.00,0.00,0.00,0.00,-9.93,NA,0.00,0.00,0.00,0.00,-73.40,269.15,,
Perennial cropland remaining perennial cropland,Perennial cropland remaining perennial cropland,61.67,59.46,2.20,0.03,0.00,0.03,0.00,0.00,-10.00,1.98,0.00,1.98,0.00,0.00,-22.04,73.56,,
Annual cropland converted to perennial cropland,Annual cropland converted to perennial cropland,0.94,0.93,0.01,0.67,-1.75,-1.08,NE,-0.07,-10.00,0.63,-1.64,-1.01,NE,-0.06,-0.11,4.35,,
Perennial cropland converted to annual cropland,Perennial cropland converted to annual cropland,0.08,0.08,0.00,5.00,-18.76,-13.76,NE,0.07,-10.00,0.40,-1.51,-1.11,NE,0.01,-0.02,4.10,,
2. Land converted to cropland(10),,29.82,29.77,0.05,0.40,-0.65,-0.25,-0.00,-0.81,-10.00,11.98,-19.47,-7.49,-0.13,-24.01,-0.51,117.87,,
