"TABLE 4.C   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Grassland,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (8),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4)",,,Net carbon stock change in dead organic matter(4) (6),Net carbon stock change in soils(4) (5) (7) ,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,
C. Total grassland,,15253.03,15086.86,166.17,0.03,-0.02,0.01,-0.00,0.01,-2.23,464.50,-351.94,112.56,-53.76,137.13,-371.01,641.98,,
1. Grassland remaining grassland,,14954.95,14788.96,165.99,0.03,-0.01,0.02,0.00,0.00,-2.23,446.00,-199.61,246.40,3.33,61.02,-370.65,219.63,,
High producing grassland remaining high producing grassland,High producing grassland remaining high producing grassland,5133.58,5007.05,126.53,NA,IE,"NA,IE",0.00,0.00,-2.40,NA,IE,"NA,IE",0.00,0.00,-303.95,1114.49,,
Low producing grassland remaining low producing grassland,Low producing grassland remaining low producing grassland,7643.96,7614.03,29.93,NA,IE,"NA,IE",0.00,0.00,-1.84,NA,IE,"NA,IE",0.00,0.00,-55.14,202.16,,
Grassland with woody biomass remaining grassland with woody biomass,Grassland with woody biomass remaining grassland with woody biomass,1331.40,1322.90,8.50,0.00,IE,0.00,0.00,0.00,-1.09,0.00,IE,0.00,0.00,0.00,-9.30,34.10,,
Low producing grassland converted to high producing grassland,Low producing grassland converted to high producing grassland,302.52,301.53,0.99,1.15,-0.52,0.63,NE,-0.03,-2.19,347.26,-156.91,190.35,NE,-9.70,-2.17,-654.41,,
Grassland with woody biomass converted to high producing grassland,Grassland with woody biomass converted to high producing grassland,340.89,340.88,0.02,0.02,-0.04,-0.02,-0.00,0.36,-2.24,7.05,-13.78,-6.73,-0.72,121.20,-0.04,-416.93,,
