"TABLE 4.D   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Wetlands,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5) (6),,
Land-use category, Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,Carbon stock change in living biomass(3) (4),,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,
D. Total wetlands,,761.51,693.91,67.60,0.00,-0.00,-0.00,-0.00,0.01,-0.04,0.02,-1.78,-1.77,-0.15,6.78,-2.56,-8.44,,
1. Wetlands remaining wetlands,,751.51,683.91,67.60,0.00,-0.00,-0.00,"NO,NE",-0.00,-0.04,0.00,-0.57,-0.57,"NO,NE",-0.02,-2.56,11.53,,
1.1  Peat extraction remaining peat extraction,,0.27,NO,0.27,NO,NO,NO,NO,NO,-9.37,NO,NO,NO,NO,NO,-2.56,9.39,,
Peat extraction remaining peat extraction,Peat extraction remaining peat extraction,0.27,NO,0.27,NO,NO,NO,NO,NO,-9.37,NO,NO,NO,NO,NO,-2.56,9.39,,
1.2 Flooded land remaining flooded land,,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,
Flooded land remaining flooded land,Flooded land remaining flooded land,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,
1.3 Other wetlands remaining other wetlands (7) ,,751.24,683.91,67.33,0.00,-0.00,-0.00,NE,-0.00,"NO,NE",0.00,-0.57,-0.57,NE,-0.02,"NO,NE",2.14,,
