"TABLE  4.E  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,,,,,,,,,,,,,,,
Settlements,,,,,,,,,,,,,,,,,Submission 2023 v3,,,,,,,,,,,,,,,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5),,,,,,,,,,,,,,,,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4)",,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,,,,,,,,,,,,,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,,,,,,,,,,,,,,,
E.  Total settlements,,208.95,207.08,1.88,"NA,NO",-0.04,-0.04,-0.00,0.03,-9.89,"NA,NO",-8.49,-8.49,-0.64,7.03,-18.55,75.68,,,,,,,,,,,,,,,,
1. Settlements remaining settlements,,192.09,190.24,1.85,NA,0.00,0.00,0.00,0.00,-9.89,NA,0.00,0.00,0.00,0.00,-18.32,67.16,,,,,,,,,,,,,,,,
Settlements remaining settlements,Settlements remaining settlements,192.09,190.24,1.85,NA,0.00,0.00,0.00,0.00,-9.89,NA,0.00,0.00,0.00,0.00,-18.32,67.16,,,,,,,,,,,,,,,,
2. Land converted to settlements,,16.86,16.84,0.02,"NA,NO",-0.50,-0.50,-0.04,0.42,-9.97,"NA,NO",-8.49,-8.49,-0.64,7.03,-0.23,8.52,,,,,,,,,,,,,,,,
2.1 Forest land converted to settlements,,2.10,2.10,0.00,"NA,NO",-0.69,-0.69,-0.29,0.69,-10.00,"NA,NO",-1.46,-1.46,-0.61,1.44,-0.00,2.30,,,,,,,,,,,,,,,,
Pre-1990 natural forest converted to settlements,Pre-1990 natural forest converted to settlements,2.10,2.10,0.00,NA,-0.69,-0.69,-0.29,0.69,-10.00,NA,-1.46,-1.46,-0.61,1.44,-0.00,2.30,,,,,,,,,,,,,,,,
Pre-1990 planted forest converted to settlements,Pre-1990 planted forest converted to settlements,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,
