"TABLE 4.F  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Other land,,,,,,,,,,,,,,,,,Submission 2023 v3,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,NEW ZEALAND,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,Carbon stock change in living biomass(3) (4),,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,
F. Total other land,,895.24,894.99,0.25,"NA,NO",-0.00,-0.00,-0.00,-0.00,"NO,NE","NA,NO",-2.61,-2.61,-0.78,-0.33,"NO,NE",13.66,,
1. Other land remaining other land(6),,895.09,894.85,0.25,,,,,,,,,,,,,,,
2. Land converted to other land(7),,0.15,0.15,NO,"NA,NO",-17.74,-17.74,-5.32,-2.26,"NO,NE","NA,NO",-2.61,-2.61,-0.78,-0.33,"NO,NE",13.66,,
2.1 Forest land converted to other land,,0.02,0.02,NO,"NA,NO",-85.59,-85.59,-34.77,-1.69,NO,"NA,NO",-1.90,-1.90,-0.77,-0.04,NO,9.95,,
Pre-1990 natural forest converted to other land,Pre-1990 natural forest converted to other land,0.02,0.02,NO,NA,-85.59,-85.59,-34.77,-1.69,NO,NA,-1.90,-1.90,-0.77,-0.04,NO,9.95,,
Pre-1990 planted forest converted to other land,Pre-1990 planted forest converted to other land,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
Post-1989 forest converted to other land,Post-1989 forest converted to other land,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
