"TABLE 4.G   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,Inventory 1990,,
Harvested wood products (HWP)(1),,,,,,Submission 2023 v3,,
(Sheet 1 of 2),,,,,,NEW ZEALAND,,
,,,,,,,,
APPROACH  A(2),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES(3),HWP in use (IU) from domestic consumption,,,,Net emissions/ removals from HWP in use (6),,,
,Gains(4),Losses(4),Half-life(5),Annual change in stock (ΔC HWP  IU DC),,,,
,(t C),,(yr),(kt C),(kt CO2),,,
"TOTAL HWP                                               consumed domestically
(ΔC HWPdom  IU DC)",,,,,,,,
1. Solid wood(7),,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
,,,,,,,,
Information item:(8),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HWP in solid waste disposal sites (SWDS) from domestic consumption(9),,,,Net CO2 emissions/ removals from HWP in SWDS,Net CO2 emissions/ removals from HWP from domestic consumption (IU+SWDS),,
,Gains(4),Losses(4),Half-life(10) ,Annual change in stock (ΔC HWP SWDS DC),,,,
,(t C),,(yr/),(kt C),(kt CO2),(kt CO2),,
HWP in SWDS(11),,,,,,,,
,,,,,,,,
APPROACH  B(12),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES(3),HWP in use from domestic harvest,,,,Net emissions/ removals from HWP in use (6),,,
,Gains(4),Losses(4),Half-life(5),"Annual Change in stock
(ΔC HWP  IU DH)",,,,
,(t C),,(yr),(kt C),(kt CO2),,,
TOTAL HWP                                                         from domestic harvest (ΔC HWP  IU DH),1605931.19,-929236.85,,676.69,-2481.21,,,
1. Solid wood(7),957308.29,-431846.11,,525.46,-1926.69,,,
Other solid wood products,957308.29,-431846.11,25.00,525.46,-1926.69,,,
2. Paper and paperboard,648622.90,-497390.75,2.00,151.23,-554.52,,,
3. Other (please specify),NA,NA,,NA,NA,,,
HWP produced and consumed domestically    (ΔC HWPdom  IU DH)(13),,,,,,,,
Total,,,,,,,,
1. Solid wood(7),,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
HWP produced and exported                             (ΔC HWPexp  IU DH)(13),,,,,,,,
Total,,,,,,,,
1. Solid wood(7),,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
Information item:(8),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HWP in solid waste disposal sites (SWDS) produced from domestic harvest(9),,,,Net CO2 emissions/ removals from HWP in SWDS,Net CO2 emissions/ removals from HWP from domestic harvest  (IU + SWDS),,
,Gains(4),Losses(4),Half-life(10) ,Annual change in stock (ΔC HWP SWDS DH),,,,
,(t C),,(yr),(kt C),(kt CO2),(kt CO2),,
HWP in SWDS(11),NA,NA,NA,NA,NA,NA,,
,,,,,,,,
APPROACH  C(14),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES(3),HWP in use from domestic consumption,,,,,,,
,Gains(4),Losses(4),Half-life(5),Annual change in stock   (ΔC HWP  IU DC),,,,
,(t C),,(yr),(kt C),,,,
TOTAL,,,,,,,,
1. Solid wood(7),,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Additional variables,,,Net CO2 emissions/ removals from HWP in use (6)        ,,,,
,Annual domestic harvest (H),"Annual imports of wood, and paper products + wood fuel, pulp, recovered paper, roundwood/chips            (Pim)","Annual exports of wood, and paper products + wood fuel, pulp, recovered paper, roundwood/chips     (Pex)",,,,,
,(kt C),(kt C),(kt C),(kt CO2),,,,
1. Solid wood,,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
,,,,,,,,
Information item:(8) ,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HWP in solid waste disposal sites (SWDS) from domestic consumption(9),,,,Net CO2 emissions/ removals from HWP in SWDS ,Net CO2 emissions/ removals from HWP  (IU+SWDS)(16),,
,Gains(4),Losses(4),Half-life(10) ,Annual change in stock (ΔC HWP SWSD DC),,,,
,(t C),,(yr),(kt C),(kt CO2),(kt CO2),,
HWP in SWDS(11),,,,,,,,
,,,,,,,,
(1) A Party should only provide data for the approach it has chosen to use for reporting on harvested wood products.,,,,,,,,
"(2) Stock change approach. Refer to equations 12.1, 12.2 and 12.A.2 of volume 4 of the 2006 IPCC Guidelines.",,,,,,,,
(3) Categories are defined in table 12.5 of volume 4 of the 2006 IPCC Guidelines. Countries may apply more detailed category breakdowns that better reflect their wood product industry.,,,,,,,,
"(4) Gains refers to annual carbon inflow to HWP pool, losses refers to annual carbon outflow from HWP pool.",,,,,,,,
"(5) Half-lives are needed when applying flux data methodology as suggested in equation 12.1 of volume 4 of the 2006 IPCC Guidelines.  Following default half-lives may be used for HWP in use: sawnwood 35 years, wood panels 25 years, paper and paperboard 2 years (based on Table 3a.1.3 of the IPCC good practice guidance for LULUCF).",,,,,,,,
"(6) For the purposes of reporting, the signs for removals are always negative (–) and for emissions positive (+).  ",,,,,,,,
"(7) If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from solid wood under other solid wood products.      ",,,,,,,,
(8) Information reported in this table as an information item should be used to check consistency with the estimation in the waste sector.,,,,,,,,
