"TABLE 4.G  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,Inventory 1990,,,,,,
Harvested wood products (HWP)(1),,,,,,,,,Submission 2023 v3,,,,,,
(Sheet 2 of 2),,,,,,,,,NEW ZEALAND,,,,,,
,,,,,,,,,,,,,,,
HWP activity data(2),,,,,,,,,,,,,,,
Inventory 1990,Sawnwood ,,,Wood panels,,,Paper and paperboard,,,,,,,,
,Production,Imports,Exports,Production,Imports,Exports,Production,Imports,Exports,,,,,,
,m3,m3,m3,m3,m3,m3,metric t,metric t,metric t,,,,,,
….(3),,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,
1990,2254000.00,44700.00,616000.00,687000.00,6100.00,356200.00,810166.00,117600.00,248200.00,,,,,,
.            ,,,,,,,,,,,,,,,
  (1) This table is only included for the latest reported inventory year in the CRF.,,,,,,,,,,,,,,,
  (2) Information should be provided on how activity data from the period from 1900 to the first year of the tabulated time series has been computed (equations 12.1 and 12.6 of volume 4 of the 2006 IPCC Guidelines). ,,,,,,,,,,,,,,,
  (3) Provide activity data from the first year for which they are available.,,,,,,,,,,,,,,,
Note:  Information as outlined in the table above should be provided where tier 1 or tier 2 methods have been used (volume 4 of the 2006 IPCC Guidelines). Further information shall be provided in the relevant sections of the NIR.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Additional information,,,,,,,,,,,,,,,
Factors used to convert from product units to carbon,,,,,,,,,,,,,,,
1. Solid wood(a),0.21,,,,,,,,,,,,,,
Other solid wood products,0.21,,,,,,,,,,,,,,
2. Paper and paperboard(a),0.45,,,,,,,,,,,,,,
3. Other (please specify),0.21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
(a) A Party may apply different categories in case tier 3 methods are available. ,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,
Documentation box,"4.G.D.1.3 Other solid wood pro: Further detail on country specific conversion factors used are available in New Zealand's NIR, section 6.10.1.
4.G.D.2 Paper and Paperboard: Further detail on country specific conversion factors used are available in New Zealand's NIR, section 6.10.1.",,,,,,,,,,,,,,
