TABLE 5 SECTORAL REPORT FOR WASTE,,,,,,,Inventory 1990,,,,
(Sheet 1 of 1),,,,,,,Submission 2023 v3,,,,
,,,,,,,NEW ZEALAND,,,,
,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND  SINK CATEGORIES,CO2(1),CH4,N2O,NOx,CO,NMVOC,SO2,,,,
,(kt),,,,,,,,,,
Total waste ,158.91,146.89,0.38,"NO,NE","NO,NE","NO,NE",NE,,,,
A.  Solid waste disposal,"NO,NA",132.73,,NE,NE,NE,,,,,
1.  Managed waste disposal sites,"NO,NA",72.67,,NE,NE,NE,,,,,
2.  Unmanaged waste disposal sites,NA,57.75,,NE,NE,NE,,,,,
3.  Uncategorized waste disposal sites,NA,2.31,,NE,NE,NE,,,,,
B.  Biological treatment of solid waste,,0.11,0.01,"NO,NE","NO,NE","NO,NE",,,,,
1. Composting,,0.11,0.01,NE,NE,NE,,,,,
2. Anaerobic digestion at biogas facilities,,NO,NO,NO,NO,NO,,,,,
C.  Incineration and open burning of waste,158.91,5.09,0.10,NE,NE,NE,NE,,,,
1.  Waste incineration,13.18,0.00,0.01,NE,NE,NE,NE,,,,
2.  Open burning of waste,145.73,5.09,0.09,NE,NE,NE,NE,,,,
D.  Wastewater treatment and discharge,,8.96,0.28,NE,NE,NE,,,,,
1.  Domestic wastewater,,5.85,0.22,NE,NE,NE,,,,,
2.  Industrial wastewater,,3.11,0.05,NE,NE,NE,,,,,
3.  Other (as specified in table 5.D),,,,,,,,,,,
E.  Other (please specify),,,,,,,,,,,
Memo item:(2),,,,,,,,,,,
Long-term storage of C in waste disposal sites,2534.78,,,,,,,,,,
Annual change in total long-term C storage ,131.73,,,,,,,,,,
Annual change in total long-term C storage in HWP waste(3),71.57,,,,,,,,,,
,,,,,,,,,,,
(1)   CO2 emissions from the categories solid waste disposal on land and waste incineration should only be included if they derive from non-biological or inorganic waste sources.,,,,,,,,,,,
"(2)  Long-term storage of carbon in waste disposal sites,  Annual change in total long-term storage of carbon stored and Annual change in long-term storage of carbon in HWP waste should be entered as carbon dioxide (CO2).",,,,,,,,,,,
"(3)  Carbon stored in wood, paper, cardboard, garden and park  waste (equals to the annual change in stocks of harvested wood products in solid waste disposal sites from consumption, second activity data in the table for harvested wood products).",,,,,,,,,,,
"Documentation box:  
• Parties should provide detailed explanations on the waste sector in chapter 7: waste (CRF sector 5) of the national inventory report (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,
"• If estimates are reported under 5.E  Other, use this documentation box to provide information regarding activities covered under this category and to provide reference to the section in the NIR where background information can be found. ",,,,,,,,,,,
Documentation box,5.: ,,,,,,,,,,
