TABLE 5.D SECTORAL BACKGROUND DATA  FOR WASTE,,,,,,,,,Inventory 1990,,,,,,,
Wastewater treatment and discharge,,,,,,,,,Submission 2023 v3,,,,,,,
(Sheet 1 of 1),,,,,,,,,NEW ZEALAND,,,,,,,
,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE                         AND SINK CATEGORIES,ACTIVITY  DATA AND RELATED INFORMATION,,,IMPLIED EMISSION  FACTOR ,,EMISSIONS,,,,,,,,,,
,Total organic product,Sludge removed(1),,CH4(2),N2O(3),CH4,,,N2O(3),,,,,,,
,,,N in effluent,,,Emissions(4),Amount of CH4 flared,Amount of CH4 for Energy Recovery(5),,,,,,,,
,,,,,,,,,,,,,,,,
, (kt DC(6)/yr),,(kt N/yr), (kg/kg DC),kg N2O-N/kg N, (kt),,,,,,,,,,
1. Domestic wastewater,137.60,IE,28.39,0.04,0.01,5.85,NE,NE,0.22,,,,,,,
2. Industrial wastewater,152.53,IE,2.82,0.02,0.01,3.11,NE,IE,0.05,,,,,,,
3. Other (please specify),,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,
"(1) If sludge removal is reported in the wastewater inventory, it should be consistent with the estimates for sludge applied to agricultural soils, sludge incinerated and sludge deposited in solid waste disposal sites.",,,,,,,,,,,,,,,,
(2)    The methane (CH4) implied emission factor (IEF) is calculated on the basis of gross CH4 emissions as follows: IEF = (CH4 emissions + CH4 recovered or flared) / total organic product.,,,,,,,,,,,,,,,,
(3)   Parties using methods other than those from the IPCC for estimating nitrous oxide (N2O) emissions from human sewage or wastewater treatment should provide aggregate data in this table.,,,,,,,,,,,,,,,,
(4)   Actual emissions (after flaring and recovery).,,,,,,,,,,,,,,,,
"(5) When CH4 recovered is used for energy production, the emissions should be reported under category 1.A.",,,,,,,,,,,,,,,,
"(6)   DC = degradable organic component. DC indicators are COD (chemical oxygen demand) for industrial waste water and BOD  (biochemical oxygen demand) for domestic/commercial wastewater/sludge (2006 IPCC Guidelines (Volume 5. Section 6.1, pp. 6.7))",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Additional information,,,,,,,,,,,,,,,,
Population (1000s),3410.40,,,,,,,,,,,,,,,
Protein consumption (kg/person/yr),36.14,,,,,,,,,,,,,,,
Fraction of nitrogen in protein,0.16,,,,,,,,,,,,,,,
FNON-CON,1.40,,,,,,,,,,,,,,,
FIND-COM,1.25,,,,,,,,,,,,,,,
TPLANT ,0.88,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Note: Parties are encouraged to supply the additional information regardless of the methodology applied,,,,,,,,,,,,,,,,
FNON-CON = Fraction of non-consumed protein added to the wastewater,,,,,,,,,,,,,,,,
FIND-COM = Fraction of industrial and commercial co-discharged protein into the sewer system,,,,,,,,,,,,,,,,
"TPLANT = Degree of utilization of modern, centralized WWT plants",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Documentation box: ,,,,,,,,,,,,,,,,
"• Regarding the estimates for N2O from human sewage, specify whether total or urban population is used in the calculations and the rationale for doing so. Provide an explanation in the documentation box.",,,,,,,,,,,,,,,,
"• Parties using methods other than those from the IPCC for estimating N2O emissions from wastewater treatment should provide, in the national inventory report (NIR), corresponding information on methods, activity data and emission factors used, and should provide a reference to the relevant section  of the NIR in this documentation box. ",,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,
