TABLE 7   SUMMARY OVERVIEW FOR KEY CATEGORIES (1),,,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 1 of 1),,,,,Submission 2023 v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY CATEGORIES OF EMISSIONS AND REMOVALS,Gas,Criteria used for key source identification,,Key category excluding LULUCF,Key category including LULUCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Liquid Fuels,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Liquid Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Liquid Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Solid Fuels,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Solid Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Solid Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Gaseous Fuels,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Gaseous Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Gaseous Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Other Fossil Fuels,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Other Fossil Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Other Fossil Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Peat,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Peat,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Peat,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Biomass,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1 Fuel combustion - Energy Industries - Biomass,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Liquid Fuels,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Liquid Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Liquid Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Solid Fuels,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Solid Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Solid Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Gaseous Fuels,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Gaseous Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Gaseous Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Other Fossil Fuels,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Other Fossil Fuels,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Other Fossil Fuels,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Peat,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Peat,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Peat,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Biomass,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2 Fuel combustion - Manufacturing Industries and Construction - Biomass,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.a Domestic Aviation,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.a Domestic Aviation,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.a Domestic Aviation,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.b Road Transportation,CO2,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.b Road Transportation,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.b Road Transportation,N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.c Railways,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.c Railways,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
