TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990
(Sheet 1 of 4),,,,,,,,,,,,,,,,,,Submission 2023 v3
,,,,,,,,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,,,,,,CH4,,,,,,N2O,,,,,
,Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3)
,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,
Total national emissions and removals,3878.45,4937.34,1058.89,27.30,1.64,2.38,33041.22,32649.06,-392.16,-1.19,-0.61,-0.88,6118.17,6032.52,-85.64,-1.40,-0.13,-0.19
1. Energy,22486.66,22486.66,-0.00,0.00,0.00,0.00,1171.50,1173.92,2.41,0.21,0.00,0.01,219.73,219.73,0.00,0.00,0.00,0.00
A. Fuel combustion activities,22026.93,22026.93,-0.00,0.00,0.00,0.00,202.37,202.37,0.00,0.00,0.00,0.00,219.67,219.67,0.00,0.00,0.00,0.00
1.  Energy Industries,5979.07,5979.07,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,5.30,5.30,0.00,0.00,0.00,0.00
2.  Manufacturing industries and construction,4676.53,4676.53,-0.00,0.00,0.00,0.00,29.20,29.20,0.00,0.00,0.00,0.00,51.99,51.99,0.00,0.00,0.00,0.00
3.  Transport,7936.45,7936.45,-0.00,0.00,0.00,0.00,79.27,79.27,0.00,0.00,0.00,0.00,110.47,110.47,0.00,0.00,0.00,0.00
4.  Other sectors,3434.88,3434.88,0.00,0.00,0.00,0.00,91.40,91.40,0.00,0.00,0.00,0.00,51.91,51.91,0.00,0.00,0.00,0.00
5.  Other,NO,,,,,,NO,,,,,,NO,,,,,
B. Fugitive emissions from fuels,459.73,459.73,0.00,0.00,0.00,0.00,969.13,971.54,2.41,0.25,0.00,0.01,0.06,0.06,0.00,0.00,0.00,0.00
1.  Solid fuels,"NO,NA","NO,NA",,,,,328.03,328.03,0.00,0.00,0.00,0.00,NO,NO,,,,
2.  Oil and natural gas,459.73,459.73,0.00,0.00,0.00,0.00,641.10,643.51,2.41,0.38,0.00,0.01,0.06,0.06,0.00,0.00,0.00,0.00
C. CO2 Transport and storage,NO,NO,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,2519.96,2519.96,0.00,0.00,0.00,0.00,27.60,27.60,0.00,0.00,0.00,0.00,102.45,102.45,0.00,0.00,0.00,0.00
A.  Mineral industry,561.87,561.87,0.00,0.00,0.00,0.00,,,,,,,,,,,,
B.  Chemical industry,175.40,175.40,0.00,0.00,0.00,0.00,27.60,27.60,0.00,0.00,0.00,0.00,"NO,NA","NO,NA",,,,
C.  Metal industry,1757.51,1757.51,0.00,0.00,0.00,0.00,"NO,NA","NO,NA",,,,,,,,,,
D.  Non-energy products from fuels and solvent use,25.17,25.17,0.00,0.00,0.00,0.00,NA,NA,,,,,NA,NA,,,,
G.  Other product manufacture and use ,NA,NA,,,,,NA,NA,,,,,102.45,102.45,0.00,0.00,0.00,0.00
H.  Other ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,,,,,,,,,,
