TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990,
(Sheet 2 of 4),,,,,,,,,,,,,,,,,,Submission 2023 v3,
,,,,,,,,,,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,,,,,,CH4,,,,,,N2O,,,,,,
,Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),
,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,
3.  Agriculture,335.68,335.68,0.00,0.00,0.00,0.00,28100.81,27705.07,-395.74,-1.41,-0.61,-0.89,5356.39,5271.30,-85.10,-1.59,-0.13,-0.19,
A.  Enteric fermentation,,,,,,,27350.37,26960.43,-389.94,-1.43,-0.60,-0.88,,,,,,,
B.  Manure management,,,,,,,727.81,722.02,-5.80,-0.80,-0.01,-0.01,50.69,49.72,-0.97,-1.92,-0.00,-0.00,
C.  Rice cultivation,,,,,,,NO,NO,,,,,,,,,,,
D.  Agricultural soils(3) ,,,,,,,NE,NE,,,,,5300.94,5216.82,-84.12,-1.59,-0.13,-0.19,
E.  Prescribed burning of savannas,,,,,,,IE,IE,,,,,IE,IE,,,,,
F.  Field burning of agricultural residues,,,,,,,22.62,22.62,0.00,0.00,0.00,0.00,4.77,4.77,0.00,0.00,0.00,0.00,
G. Liming,296.48,296.48,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
H. Urea application,39.19,39.19,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
I. Other carbon-containing fertilizers,NE,NE,,,,,,,,,,,,,,,,,
J.  Other ,,,,,,,,,,,,,,,,,,,
"4.  Land use, land-use change and forestry (net)(4)",-21624.05,-20565.17,1058.88,-4.90,,2.38,68.71,68.36,-0.35,-0.51,,-0.00,326.12,325.58,-0.54,-0.17,,-0.00,
A. Forest land,-20299.82,-19275.86,1023.96,-5.04,,2.30,17.86,17.53,-0.33,-1.88,,-0.00,213.63,213.16,-0.47,-0.22,,-0.00,
B. Cropland,468.69,469.02,0.34,0.07,,0.00,"NE,IE","NE,IE",,,,,7.50,7.49,-0.00,-0.06,,-0.00,
C. Grassland,609.84,641.98,32.14,5.27,,0.07,50.85,50.83,-0.02,-0.04,,-0.00,64.05,64.00,-0.04,-0.07,,-0.00,
D. Wetlands,-10.47,-8.44,2.03,-19.36,,0.00,"NE,NO","NE,NO",,,,,0.00,0.00,-0.00,-0.00,,0.00,
E. Settlements ,75.42,75.68,0.26,0.35,,0.00,"NE,NA","NE,NA",,,,,0.00,0.00,-0.00,-0.00,,0.00,
F. Other land,13.50,13.66,0.16,1.22,,0.00,"NE,NA","NE,NA",,,,,0.10,0.10,-0.00,-0.43,,-0.00,
G. Harvested wood products,-2481.21,-2481.21,0.00,0.00,,0.00,,,,,,,,,,,,,
H. Other       ,NA,NA,,,,,NA,NA,,,,,NA,NA,,,,,
,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,,,,,,,,,,,
