TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990,
(Sheet 4 of 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ZEALAND,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HFCs,,,,,,PFCs,,,,,,SF6,,,,,,Unspecified mix of HFCs and PFCs,,,,,,NF3,,,,,,
,Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),
,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,
Total Actual Emissions,"NO,NA","NO,NA",,,,,909.95,909.95,0.00,0.00,0.00,0.00,19.97,19.97,0.00,0.00,0.00,0.00,"NO,NA","NO,NA",,,,,"NO,NA","NO,NA",,,,,
2.B.9. Flurochemical production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.B.10. Other,NA,NA,,,,,NA,NA,,,,,NA,NA,,,,,NA,NA,,,,,NA,NA,,,,,
2.C.3. Aluminium production,,,,,,,909.95,909.95,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
2.C.4. Magnesium production,,,,,,,,,,,,,2.74,2.74,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
2.C.7. Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.E.1.  Integrated circuit or semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.E.2.  TFT flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.E.3.  Photovoltaics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.E.4.  Heat transfer fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.E.5.  Other (as specified in table 2(II)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.1.  Refrigeration and air conditioning,NO,NO,,,,,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
2.F.2.  Foam blowing agents,"NO,NA","NO,NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.3.  Fire protection,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.4.  Aerosols,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.5.  Solvents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.F.6.  Other applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
