INFORMATION TABLE ON ACCOUNTING FOR ACTIVITIES UNDER ARTICLES 3.3 AND 3.4 OF THE KYOTO PROTOCOL (1),,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,Inventory 1990
Commitment period accounting:No,,,,,,,,,,,,Submission 2023 v3
Annual accounting:No,,,,,,,,,,,,
,,,,,,,,,,,Number of the reported year in the commitment period:,1
,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK ACTIVITIES,Base Year(2),NET EMISSIONS/REMOVALS,,,,,,,,,Accounting parameters,Accounting quantity (4)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,2013,2014,2015,2016,2017,2018,2019,2020,Total(3) ,,
,(kt CO2 eq),,,,,,,,,,,
A. Article 3.3 activities ,,,,,,,,,,,,
A.1. Afforestation/reforestation,,-17789.17,,,,,,,,-17789.17,,-17789.17
Excluded emissions from natural disturbances(5),,NA,,,,,,,,NA,,NA
Excluded subsequent removals from land subject to natural disturbances(6),,NA,,,,,,,,NA,,NA
A.2. Deforestation,,9151.68,,,,,,,,9151.68,,9151.68
B. Article 3.4 activities,,,,,,,,,,,,
B.1. Forest management,,,,,,,,,,-24042.39,,-24031.68
Net emissions/removals,,-24042.39,,,,,,,,-24042.39,,
Excluded emissions from natural disturbances(5),,NA,,,,,,,,NA,,NA
Excluded subsequent removals from land subject to natural disturbances(6),,NA,,,,,,,,NA,,NA
"Any debits from newly established forest (CEF-ne)(7),(8)",,NO,,,,,,,,NO,,NO
Forest management reference level (FMRL)(9),,,,,,,,,,,11.15,
Technical corrections to FMRL(10),,,,,,,,,,,-21.86,
Forest management cap(11),,,,,,,,,,,2335.21,-2335.21
B.2. Cropland management (if elected),,"NE,NA",,,,,,,,"NE,NA",,"NE,NA"
B.3. Grazing land management (if elected),,"NE,NA",,,,,,,,"NE,NA",,"NE,NA"
B.4. Revegetation (if elected),,"NE,NA",,,,,,,,"NE,NA",,"NE,NA"
B.5. Wetland drainage and rewetting (if elected),,"NE,NA",,,,,,,,"NE,NA",,"NE,NA"
,,,,,,,,,,,,
"(1)     All values are reported in table 4(KP) and tables  4(KP-I).A.1.1, 4(KP-I).B.1.1, 4(KP-I).B.1.2 and 4(KP-I).B.1.3 of the CRF for the relevant inventory year as reported in the current submission and are automatically entered in this table.  ",,,,,,,,,,,,
"(2)     Net emissions and removals from cropland management, grazing land management, revegetation and/or wetland drainage and rewetting, if elected, in the Party’s base year, as established by decision 9/CP.2.",,,,,,,,,,,,
(3)     Cumulative net emissions and removals for all years of the commitment period reported in the current submission.,,,,,,,,,,,,
(4)     The accounting quantity is the total quantity of units to be added to or subtracted from a Party's assigned amount for a particular activity in accordance with the provisions  of Article 7.4 of the Kyoto Protocol.,,,,,,,,,,,,
(5)    A Party that has indicated their intent to apply the natural disturbance provisions may choose to exclude emissions from natural disturbances either annually or at the end of the commitment period.,,,,,,,,,,,,
(6)    Any subsequent removals on lands from which emissions from natural disturbances have been excluded is subtracted from the accounting quantity of the respective activity.,,,,,,,,,,,,
(7 )   A debit is generated in case the newly established forest does not reach at least the expected carbon stock at the end of the normal harvesting period. Total debits from carbon equivalent forests are subtracted from the accounting quantity forest management.,,,,,,,,,,,,
"(8)    In case of a projected forest management reference level, Parties should not fill in this row.",,,,,,,,,,,,
"(9)    Forest management reference level as inscribed in the appendix of the annex to decision 2/CMP.7, in kt CO2 eq per year.",,,,,,,,,,,,
(10)       Technical corrections in accordance with paragraphs 14 and 15 of the annex to decision 2/CMP.7 and reported in table 4(KP-I)B.1.1 in kt CO2 eq per year. ,,,,,,,,,,,,
"(11)     For the second commiment period, additions to the assigned amount of a Party resulting from forest management shall, in accordance with paragraph 13 of the annex to decision 2/CMP.7,  not exceed 3.5 per cent of the national total emissions excluding LULUCF in the base year times eight.",,,,,,,,,,,,
